gene_A,gene_B,lcbs_length,peak_col_pos,M,time_baseline_us,time_ms_us,speedup,lcbs_sequence
10128_at,10182_at,9,29,132,204.59998631849885,553.4000229090452,0.36971445220219323,"[0, 2, 4, 5, 8, 9, 8, 1, 0]"
10111_at,10179_at,9,1,132,193.29998758621514,481.29999777302146,0.4016205869117298,"[5, 9, 8, 7, 6, 4, 3, 2, 1]"
10161_g_at,10173_at,9,18,132,183.8000025600195,490.89998356066644,0.3744143587597108,"[1, 3, 5, 7, 8, 7, 6, 5, 4]"
10039_s_at,10103_at,9,14,132,281.5999905578792,501.09997391700745,0.5619636903124605,"[0, 3, 5, 7, 6, 4, 2, 1, 0]"
10040_at,10129_at,9,2,132,170.0999855529517,460.7000155374408,0.3692207072198976,"[7, 9, 7, 6, 5, 4, 2, 1, 0]"
10089_at,10167_at,10,11,132,174.99999376013875,456.3999827951193,0.38343558360451846,"[0, 1, 4, 5, 7, 8, 7, 5, 3, 2]"
10130_at,10181_at,10,26,132,175.0999945215881,467.10000606253743,0.3748661790814555,"[0, 1, 2, 5, 7, 9, 6, 5, 3, 0]"
10089_at,10162_at,9,25,132,175.49999756738544,460.49998491071165,0.3811074990619465,"[0, 1, 3, 6, 8, 5, 2, 1, 0]"
10075_at,10121_at,9,20,132,178.99999511428177,463.50000775419176,0.3861920002581984,"[0, 1, 4, 9, 8, 5, 2, 1, 0]"
10087_at,10138_g_at,8,1,132,180.60000729747117,459.4999772962183,0.3930359438974395,"[9, 6, 5, 4, 3, 2, 1, 0]"
10137_at,10182_at,9,5,132,173.70001296512783,452.20000902190804,0.38412209088813276,"[5, 6, 7, 8, 7, 6, 5, 4, 3]"
10043_at,10131_at,8,7,132,180.00000272877514,480.5999924428761,0.37453184677311424,"[0, 1, 2, 9, 5, 4, 3, 1]"
10019_at,10109_at,9,15,132,178.7999935913831,478.70000707916915,0.3735115749889941,"[2, 4, 5, 7, 9, 8, 6, 2, 0]"
10022_at,10188_at,9,24,132,171.59999697469175,455.2000027615577,0.37697714396671267,"[1, 4, 5, 7, 8, 3, 2, 1, 0]"
10067_at,10072_at,8,3,132,168.6000032350421,456.40001189894974,0.36941279325025816,"[3, 8, 9, 8, 6, 5, 4, 1]"
10045_at,10067_at,9,8,132,176.70000670477748,514.5999894011766,0.3433735140772109,"[0, 3, 9, 8, 6, 5, 4, 1, 0]"
10018_at,10151_at,9,13,132,846.999988425523,571.0000114049762,1.4833624719926608,"[0, 1, 5, 6, 9, 8, 7, 3, 2]"
10054_at,10173_at,9,7,132,176.10000213608146,466.5000014938414,0.37749196478492675,"[1, 3, 5, 7, 9, 4, 2, 1, 0]"
10027_at,10045_at,10,15,132,180.89998047798872,473.4999965876341,0.38204853596975313,"[0, 1, 2, 4, 9, 7, 5, 3, 1, 0]"
10019_at,10143_at,9,13,132,182.89999570697546,493.7000048812479,0.37046788312463014,"[0, 1, 2, 9, 7, 6, 2, 1, 0]"
10002_i_at,10131_at,9,19,132,184.00000408291817,486.7000097874552,0.3780562983002036,"[0, 1, 2, 3, 5, 8, 9, 8, 7]"
10111_at,10144_at,9,13,132,180.00000272877514,457.09998812526464,0.3937869337232351,"[4, 5, 9, 8, 7, 6, 3, 2, 1]"
10100_at,10181_at,10,26,132,170.90002074837685,453.39998905546963,0.3769299181157869,"[0, 1, 3, 4, 5, 7, 9, 7, 5, 1]"
10019_at,10161_g_at,9,20,132,169.90001313388348,459.7999795805663,0.36950852692265845,"[0, 4, 5, 8, 9, 8, 6, 2, 1]"
10018_at,10160_at,10,8,132,175.90000061318278,467.6000098697841,0.37617621236185794,"[0, 2, 3, 5, 9, 7, 5, 2, 1, 0]"
10166_at,10186_s_at,9,25,132,172.40000306628644,459.9000094458461,0.37486409985948654,"[0, 1, 4, 6, 8, 9, 7, 5, 2]"
10003_f_at,10188_at,8,23,132,174.2999884299934,467.6000098697841,0.3727544584067309,"[1, 2, 3, 7, 9, 8, 1, 0]"
10056_at,10097_at,10,8,132,176.60000594332814,459.69997881911695,0.3841636155759251,"[1, 4, 6, 9, 8, 6, 5, 4, 3, 0]"
10060_at,10114_at,8,7,132,187.90000467561185,487.19998449087143,0.3856732566852791,"[3, 9, 7, 5, 4, 3, 2, 1]"
10018_at,10085_at,10,8,132,175.79999985173345,481.1999970115721,0.36533666031487055,"[0, 1, 5, 7, 9, 8, 7, 6, 4, 3]"
10150_at,10166_at,9,19,132,170.79999088309705,459.30000487715006,0.37187021351933425,"[0, 1, 2, 5, 6, 9, 8, 5, 3]"
10023_at,10129_at,10,14,132,169.60001084953547,457.09998812526464,0.37103481788552994,"[0, 5, 6, 9, 8, 7, 6, 4, 2, 1]"
10033_at,10162_at,8,13,132,171.69999773614109,457.3000187519938,0.3754646636681173,"[4, 7, 9, 7, 6, 4, 1, 0]"
10048_at,10124_at,8,4,132,173.9000144880265,457.2999896481633,0.3802755705763768,"[6, 8, 9, 7, 5, 4, 3, 0]"
10012_at,10103_at,9,17,132,172.0000000204891,472.0000142697245,0.3644067686875104,"[0, 2, 5, 7, 8, 7, 4, 3, 0]"
10069_f_at,10130_at,9,10,132,171.69999773614109,464.4000146072358,0.36972435903421663,"[0, 1, 2, 5, 9, 8, 7, 5, 0]"
10033_at,10111_at,8,2,132,170.69999012164772,457.9999949783087,0.3727074060988412,"[5, 9, 7, 6, 4, 3, 2, 1]"
10177_at,10179_at,8,26,132,185.7000170275569,487.40001511760056,0.38100125413978686,"[0, 1, 2, 7, 9, 3, 2, 1]"
10173_at,10188_at,8,23,132,183.50000027567148,467.40000834688544,0.3925973406048491,"[1, 3, 7, 9, 3, 2, 1, 0]"
10067_at,10070_at,9,8,132,190.69999689236283,461.9999963324517,0.4127705593208199,"[2, 3, 5, 9, 8, 7, 6, 5, 3]"
10008_at,10129_at,9,3,132,171.69999773614109,459.80000868439674,0.3734232155136706,"[0, 7, 8, 7, 6, 5, 3, 1, 0]"
10162_at,10179_at,9,13,132,177.10000975057483,470.7000043708831,0.37624815828773767,"[0, 1, 5, 9, 7, 3, 2, 1, 0]"
10101_at,10121_at,10,12,132,172.89997776970267,466.90000453963876,0.3703147913656185,"[1, 3, 4, 8, 9, 8, 5, 3, 1, 0]"
10097_at,10159_at,10,20,132,168.9000055193901,466.90000453963876,0.3617477058838856,"[2, 3, 4, 6, 9, 7, 6, 4, 3, 2]"
